variavel,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,incompletude_acumulada,classificacao
Idade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Excelente
Sexo,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,Excelente
Gestante,16.4,18.5,27.6,30.1,34.6,28.7,25.5,12.6,19.3,17.6,17.2,16.9,16.6,22.7,13.8,15.8,20.9,Ruim
Raça/Cor,18.4,16.3,25.6,27.9,47.5,30,15.8,7.9,11.3,9.6,13.9,7.5,8.2,20.3,7,4.6,17,Regular
Escolaridade,39.5,40.2,28.7,22,33.5,16,16.9,16.3,31.1,17.3,20.7,23,20.9,30.8,22.7,29.1,25.5,Ruim
